ARABIC;ENGLISH
aaa;aaa
أخلاقيات الحوسبة والمجتمع;Computing Ethics & Society
أصول الادارة;Asset Management
إدارة أعمال;Business Administration
احياء عامة;General revival
ادارة مشروعات البرمجيات;Software Projects Management
الأحياء;Biology
الأعمال;Business
الاستماع والتحدث - 1;Listening and Speaking - 1
الاستماع والتحدث - 2;Listening and Speaking - 2
الاستماع والتحدث - 3;Listening and Speaking - 3
الاستماع والتحدث - 4;Listening and Speaking - 4
الاعداد للاختبارات الدولية;Preparation for international tests
البرمجة الاحصائية;Statistical Programming
البرمجة الغرضية الموجهة;Object oriented programming
التحرير العربي;Arab Editing
التحليل التوافقي للحاسب;Combinatorial Analysis of Comp.
التراكيب المحدده;Discrete Structures
الترجمة - 1;Translation - 1
الترجمة - 2;Translation - 2
الترجمة - 3;Translation - 3
التكنولوجيا وتعلم اللغة;Technology and language learning
الثقافة الاسلامية -2;Islamic Culture -2
الثقافة الاسلامية -3;Islamic Culture - 3
الثقافة الاسلامية -4;Islamic Culture - 4
الحركات الأدبية الحديثة;Modern literary movements
الذكاء الاصطناعي;Artificial intelligence
الرؤية بالحاسب;Computer vision
الرسم بالحاسب;Computer graphic
الرواية;Novel
الرياضيات;Mathematics
الشريعة وأصول الدين;Sharia and the fundamentals of religion
الشعر;Poetry
الصوتيات;Phonetics
العلوم;Science
العلوم الإنسانية;Humanities
الفقه;Jurisprudence
الفيزياء;Physics
القراءة والاستيعاب - 1;Reading and comprehension - 1
القراءة والاستيعاب - 2;Reading and comprehension - 2
القراءة والاستيعاب - 3;Reading and comprehension - 3
القراءة والاستيعاب - 4;Reading and comprehension - 4
القصة القصيرة;short story
القواعد - 1;Grammar - 1
القواعد - 2;Grammar - 2
القواعد - 4;Grammar - 4
الكتابة - 1;Writing - 1
الكتابة - 2;Writing - 2
الكتابة - 3;Writing - 3
الكتابة - 4;Writing - 4
الكتابة لأغراض معينة;Writing for specific purposes
الكيمياء;Chemistry
الكيمياء العامة  1;General Chemistry - 1
اللغات والترجمة;Languages ​​and translation
اللغة الإنجليزية;English Language
اللغة العربية وآدابها;Arabic language and its literature
اللغويات التطبيقية - 1;Applied Linguistics - 1
اللغويات التطبيقية - 2;Applied Linguistics - 2
المترجمات;Interpreters
المجمع الأكاديمي بتنومه;The Academic Campus in Tanumah
المدخل الى الثقافة الاسلامية;Introduction to Islamic Culture
المعالجات الصغيرة ولغة التجميع;Microprocessors and assembly language
المنطق الرقمي;Digital Logic
المهارات الدراسية;Study skills
المهارات اللغوية;language skills
الهندسه الحسابية;Computational Engineering
برمجة حاسب - 1;Computer programming - 1
برمجة حاسب  -2-;Computer programming  - 2
برنامج اللغة الانجليزية المكثف - 1;Intensive English Program - 1
برنامج اللغة الانجليزية المكثف -2;Intensive English Program - 2
بناء المفردات - 1;Building vocabulary - 1
بناء المفردات - 2;Building vocabulary - 2
تصميم وتحليل خوارزميات;Design and analysis of algorithms
تفاضل وتكامل;Difference and completeness
تقنيات الانترنت;Internet Technologies
تنظيم الحاسبات;Organization of computers
جبر المصفوفات;Algebra matrices
حاسب آلي;Computer
حساب التفاضل والتكامل  1;Calculus 1
خوارزميات وهياكل  بيانات -1-;Algorithms and data structures -1
خوارزميات وهياكل بيانات -2-;Algorithms and data structures -2
رياضيات -1-;Mathematics-1
شبكات الحاسب - 1;Computer Networks
شبكات الحاسب - 2;Computer Networks
طرق البحث;Research methods
علم الأصوات;Phonolgy
علم الصرف;Syntax
علم النحو;Morphology
علوم الحاسب;Computer Science
علوم الحاسب-أبها;Computer Science - Abha
قواعد - 3;Grammar - 3
لغات البرمجة;Programming Languages
مباديء علم الفيزياء;Principles of Physics
مخازن ومناجم البيانات;Data Warehousing & Data Mining
مدخل الى الحاسب;Introduction to the computer
مدخل الى نظم المعلومات;Introduction to Information Systems
مسرحية;Drama
مشروع   -  1;Project - 1
مشروع   -  2;Project - 2
مقدمة في الفنون الأدبية;Introduction to Literary Arts
مقدمة في اللغويات;Introduction to Linguistics
مقدمة في علم الفيزياء;Introduction to Physics
مواضيع مختارة;Selected topics
ندوه;A seminar
نظم إدارة  قواعد البيانات;Database management systems
نظم المعلومات;Information Systems
نظم تشغيل - 1;Operating systems - 1
نظم تشغيل - 2;Operating systems - 2
نمذجه ومحاكاة;Model and simulation
هندسة البرمجيات -1-;Software Engineering -1-
هندسة البرمجيات -2-;Software Engineering -2-
هندسة المعرفة والنظم الخبيرة;Knowledge Engineering and Expert Systems
ورشة عمل الخطابة;Speech Workshop
